년도,분류,형태,제목,1저자,공저자,초록,키워드
,,,The digital divide: Trends in global mobile and broadband Internet access from 2000?2010,Charlene Ronquillo,Leanne Currie,"The digital divide is described as the gap between those who do and do not have access to digital information and communications technologies (ICT). ICTs are viewed as an indicator of infrastructure and potential for development, and are a growing platform for health information and services delivery. This study compares the penetration of mobile and broadband Internet technologies by global region from 2000 to 2010. Results illustrate the rapid growth of mobile cellular telephone subscriptions in all global regions with trends suggesting a continued increase. Little to modest gains were made in fixed broadband Internet subscriptions globally. There is a growing popularity of mobile subscriptions with use of data communications, exceeding the numbers of fixed Internet subscriptions. This comparison reveals current strengths that can be built on and highlights the importance of awareness of global trends and using such knowledge to inform design and delivery of ICT-based health services.",
,,,Health Assets in Nursing Documentation of Cancer Care.,Ann Kristin Roteg?rd,"May Solveig Fagermoen, Cornelia M. Ruland","Patients’ experiences, knowledge and preferences, as well as more person-centered care need to be implemented in clinical support systems and are central values and outcomes of eHealth. Health assets represent such information. The concept of health assets was explored and described based on analysis of nursing documentation in cancer patients’ records. A convenience sample from 100 records, available from a larger study, resulted in 43 records that met the inclusion criteria. These were analyzed using content analysis methods. A mean of 3.2 health assets was documented in these records, and 61% of the descriptions of assets quoted patients. Assets were found most often in the admission notes (49%), but no information was found that described or indicated an intended use or follow up in the nursing documentation.",
,,,Whose Voices are Heard in Patient Safety Incident Reports?,Kaija Saranto,"David W. Bates, Minna Mykk?nen, Mikko H?rk?nen, Merja Miettinen","Patient safety incident reporting systems are used to monitor adverse events, generate information for risk management and to improve patient safety. A number of electronic reporting systems have been developed, but their data elements appear relatively similar. An inductive data analysis was carried out to find out especially what is the content of descriptions of contributing factors of adverse events. The data consisted of incident reports entered in a hospital based reporting system in the years 2008?2010. Overall, 82 reports of 785 contained free text information about patients’ and relatives’ involvement in the events reported by staff. We found that patients themselves noticed almost half of these incidents. Of the incidents they noticed, most resulted in moderate harm.",
,,,Barriers and Facilitators of Implementing Electronic Data Summaries in HIV/AIDS Care,Rebecca Schnall,"Ann B. Smith, Peter Gordon, Eli Camhi, Manik Sikka, Tim Kanter, Suzanne Bakken","The purpose of this study was to describe case managers’ perceptions of the barriers and facilitators to implementing two different electronic data summaries (EDS), a USB-based and Web-based Continuity of Care Document (CCD) for patients living with HIV/AIDS (PLWH) in New York City. The primary aim of this descriptive qualitative study was to understand case managers’ perceptions of the two systems. Focus group methodology was used to gather perceptions from 48 participants. Major themes by factor included: barriers (technical difficulties, quality of data, and confidentiality breaches), and facilitators (training/ user support, work efficiency, and improved coordination of care). EDSs may be particularly useful in improving coordination of services and information sharing for HIV case managers. Careful attention must be paid to barriers and facilitators for use of these EDSs so that they can best meet the healthcare and social service needs of PLWH.",
,,,Nursing Routine Data as a Basis for Association Analysis in the Domain of Nursing Knowledge,Bj?rn Sellemann,"J?rgen Stausberg, Ursula H?bner","This paper describes the data mining method of association analysis within the framework of Knowledge Discovery in Databases (KDD) with the aim to identify standard patterns of nursing care. The approach is application-oriented and used on nursing routine data of the method LEP nursing 2. The increasing use of information technology in hospitals, especially of nursing information systems, requires the storage of large data sets, which hitherto have not always been analyzed adequately. Three association analyses for the days of admission, surgery and discharge, have been performed. The results of almost 1.5 million generated association rules indicate that it is valid to apply association analysis to nursing routine data. All rules are semantically trivial, since they reflect existing knowledge from the domain of nursing. This may be due either to the method LEP Nursing 2, or to the nursing activities themselves. Nonetheless, association analysis may in future become a useful analytical tool on the basis of structured nursing routine data.",
,,,Approaches to Workflow Analysis in Healthcare Settings,Barbara Sheehan,Suzanne Bakken,"Attention to workflow is an important component of a comprehensive approach to designing usable information systems. In healthcare, inattention to workflow is associated with poorly accepted systems and unforeseen effects of use. How best to examine workflow for the purpose of system design is in itself the subject of scientific inquiry. Several disciplines offer approaches to the study of workflow that can be tailored to meet the needs of systems designers in healthcare settings. This paper will describe several methodologies for workflow analysis according to the major schools of thought from which they have been developed. The level of workflow they examine and their theoretical underpinnings will also be described.",
,,,Comparing the Effectiveness of CDSS on Provider’s Behaviors to Implement Obesity Prevention Guidelines,Diane J Skiba,"Bonnie Gance-Cleveland, Kevin Gilbert, Lynn Gilbert, Danielle Dandreaux","Obesity is a global epidemic demanding the use of clinical decision support tools to help clinicians in the identification, assessment and management of healthy weight gain in children. Over the last decade, numerous systematic reviews have shown that clinical decision support systems (CDSS) have positively impacted clinician’s performance for drug ordering/dosing and preventive care reminders. CDSS that are built into the clinician’s workflow at the point of care also have a positive impact on provider’s performance. There are limited studies that examine CDSS in nursing practice. This paper describes a comparative effectiveness study being conducted in school-based clinics to examine the impact of web-based training with and without a CDSS that contains tailored recommendations. The study involves the use of a CDSS tool focused on cardiovascular risks, HeartSmartKids™. This research is an important example of an interdisciplinary team using information technology to address the global issue of obesity prevention.",
,,,Evaluating the Impact of Electronic Health Records on Nurse Clinical Process at Two Community Health Sites,Paulina S. Sockolow,"Cindy Liao, Jesse L. Chittams, Kathryn H. Bowles","We conducted two mixed methods studies in community-based health care settings to examine EHR use among nurses documenting direct patient care and EHR impact on nurse satisfaction. Quantitative methods included documentation time-to-completion data and a clinician satisfaction survey. Qualitative methods included observations and follow-up interviews. Qualitative data was merged with the quantitative data by comparing findings along themes. Results indicated nurses increased the number and timeliness of notes documented. Nurse use of the EHR as intended varied between the research sites. Barriers to EHR use included cumbersome functionalities that impacted nurse efficiency, lack of interoperability, and hardware issues. Facilitators to adoption included functionalities that provided memory prompts during the care process and enabled nurses to communicate about patient care. Interpretation of findings underscores the importance of the interaction of workflow, EHR functionality, and usability to impact nurse satisfaction, efficiency, and use of the EHR.",
,,,Nursing Minimum Data Set Based on EHR Archetypes Approach,Dandara N. Spigolon,Cl?udia M.C. Moro,"The establishment of a Nursing Minimum Data Set (NMDS) can facilitate the use of health information systems. The adoption of these sets and represent them based on archetypes are a way of developing and support health systems. The objective of this paper is to describe the definition of a minimum data set for nursing in endometriosis represent with archetypes. The study was divided into two steps: Defining the Nursing Minimum Data Set to endometriosis, and Development archetypes related to the NMDS. The nursing data set to endometriosis was represented in the form of archetype, using the whole perception of the evaluation item, organs and senses. This form of representation is an important tool for semantic interoperability and knowledge representation for health information systems.",
,,,Standardization of Patient Registries for Improved Data Collection and Outcome Measurement,Christine M. Spisla,Cynthia B. Lundberg,"Patient registries provide key data for clinical trials, patient safety and disease progression research. Current standards are insufficient to guide consistent authoring and reuse of registry questions. An outcome measure and its accompanying measurable indicators provide the means for the collection of data over a continuum of care. These data can be translated into comparison research, supporting the development of evidence-based knowledge. Lack of standardized approach to question/answer authoring and identification of outcome measure indicators have been an obstacle to interoperability of registry data with electronic medical and personal health records.",
,,,Promoting Usability in Organizations with a New Health Usability Model: Implications for Nursing Informatics,Nancy Staggers,Melanie Rodney,"Usability issues with products such as Electronic Health Records (EHRs) are of global interest to nursing informaticists. Although improvements in patient safety, clinical productivity and effectiveness are possible when usability principles and practices are in place, most organizations do not embrace usability. This paper presents a new Health Usability Maturity Model consisting of 5 phases: unrecognized, preliminary, implemented, integrated and strategic. Within each level various aspects are discussed including focus on users, management, education, resources, processes and infrastructure. Nurse informaticists may use this new model as a guide for assessing their organization’s level of usability and transitioning to the next level. Using tactics outlined here, nurse informaticists may also serve as catalysts for change and lead efforts to improve the user experience in organizations across industry, academe and healthcare settings.",
,,,The Development of Remote Monitoring and Guideline System for Safer Client Care in the Community,Winnie Sun,Diane Doran,"There is increasing concern to support older adults who want to live independently in their own homes. The purpose of this study is to investigate the integration of two non-intrusive approaches to monitoring home care clients activity level, along with access to best practice guidelines for clinicians at the point of care. A prototype Remote Activity Monitoring and Guidelines System has been developed that uses a GPS-equipped BlackBerry to monitor a person’s mobility outside the home. The System includes a pressure-sensitive mat that is placed under a regular bed mattress and can monitor sleep disturbances, and how long it takes to enter and exit the bed. This research study provided valuable information about the feasibility and effectiveness of integrating bio-mobility information obtained through remote monitoring with decision support technologies to support safer client care for seniors.",
,,,"A survey of nursing documentation, terminologies and standards in European countries",Asta Thoroddsen,"Anna Ehrenberg, Walter Sermeus, Kaija Saranto","A survey was carried out to describe the current state of art in the use of nursing documentation, terminologies, standards and education. Key informants in European countries were targeted by the Association for Common European Nursing Diagnoses, Interventions and Outcomes (ACENDIO). Replies were received from key informants in 20 European countries. Results show that the nursing process was most often used to structure nursing documentation. Many standardized nursing terminologies were used in Europe with NANDA, NIC, NOC and ICF most frequently used. In 70% of the countries minimum requirements were available for electronic health records (EHR), but nursing not addressed specifically. Standards in use for nursing terminologies and information systems were lacking. The results should be a major concern to the nursing community in Europe. As a European platform, ACENDIO can play a role in enhancing standardization activities, and should develop its role accordingly.",
,,,Nurses Contribution to Swedish eHealth Strategy,Eva T?rnvall,,"In 2005 the Swedish government identified the need of common development of information and communication technology in health and social care. The purpose of this paper is to describe nurses’ contribution to the establishment of a national cooperation concerning eHealth development in health and social care. The Swedish strategy of eHealth have six actions areas eServices for accessibility and empowerment, Usable and accessible information (for staff), Knowledge management, innovation and learning, Creating a common technical infrastructure, Creating a common information structure and Bringing laws and regulations into line with extended use of ICT. Nurses are involved in all action areas and emphasize the empowerment and safety of the patient and account of ethical values. Patients’ possibility to take part of the information and adding information in their own patient health record, nurses’ education and safe IT support in medication are areas that need further development.",
,,,Implementation and Evaluation the Effectiveness of the Bar-coded Medication Administration System in a Medical Center,Kuan-Jui Tseng,"Rung-Chuang Feng, Shin-Shang Chou, Shir-Ling Lin, Hsiu-Fang Yan, Hsiu-Ya Huang","The aim of study was to implement and evaluate the effectiveness of the BCMA systems in medical center. A convenience sample of totally 48 medical-surgical units and 800 staff nurses were recruited to evaluate the systems in 2010. The nurses’ perception of the BCMA/eMAR systems were accorded with clinical procedures, guarded the accuracy of patient identification and medication administration processes, and greater than 70% of nurses were willing to use the BCMA/eMAR systems.",
,,,Designing Structured Regional Alliance Path Model for Healthcare Coordination Based on PCAPS,Satoko Tsuru,"Shinichi Yoshi, Shogo Kato, Ryoko Shimono, Yoshinori Iizuka, Masahiko Munechika","A deficit in medical insurance finance has been observed with an increase in national medical expenses due to rapid aging, and the premium income does not increase. Therefore, efficient functioning of all medical institutions, reinforcement of a coordinated medical care system, and effective practical use of this system are necessary. In this study, a coordinated medical treatment system is considered and a regional alliance path is designed as a tool that facilitates in improving the coordinated medical treatment system step-by-step. It clarifies the future of a patient’s condition by providing appropriate management and helps to achieve effective coordination. Further, the regional alliance path helps to prescribe appropriate medical examination and treatment processes that each medical institution should follow by considering the processes followed by local clinics, and further, enables suitable distribution of community medical resources.","regional alliance path, shift logic, coordinated medical system, clinics, acute period hospitals"
,,,How complex documentation with Personal Digital Assistants could be?,Ming-Hsiang Tu,"Chiao-Ling Hsu, Cheng-Shan Chu, Chia-Chin Lu, Chung-Fu Lan, Polun Chang","The researchers have demonstrated that the PDA could be used for complex documentation and well accepted by users. This study examined whether the researchers could make the PDA system still keep great usability when the contents of information were requested to increase from 262 to 513 questions. Two independent convenience samples from the Veterans Medical Care system in Taiwan and the questionnaire designed based on Technology Acceptance Model were used in this study. Results showed that mobile device such as PDA could still be used for complex documentation with 513 assessment questions, designed with a set of effective screen interface design principles. This is encouraging for the mobile health because its success depends on the use of mobile devices.",
,,,Service Desk Calls in a Home-based Clinical Informatics Study: Supporting End Users in the Field,RS Valdez,"LJ Burke, GR Casper, BA Sturgeon, C Rosmait, D Palzkill, D Hamann, J Murphy, PF Brennan","Home-based clinical informatics technologies are being developed to facilitate health care provision and management. Given the novelty of these technologies, end users such as patients and their formal and informal caregivers may require support during use. This paper presents a case study within the United States of the service desk calls generated over a 31-month period by patients enrolled in a large randomized field experiment, HeartCare II. This case study provides future deployers of home-based clinical information technologies with an understanding of the types of support that may be required during use. Our analysis reveals that calls to the service desk originated as a result of user problems, hardware problems, software problems, and internal communication problems among individuals involved in the delivery and use of the technology. Implications of these needs for support during use are also discussed.",
,,,Ambient Findability: Developing a Flowsheet Ontology for i2B2,Judith J. Warren,"E. LaVerne Manos, Daniel W. Connolly, Lemuel R. Waitman","The process of moving from the locally defined flowsheet ontology containing redundancy and jargon to one understandable by researchers is described. Over 250 million nursing flowsheet observations were imported into a data repository that uses the i2b2 framework. Focus groups were used to derive a new ontology model--18 templates were identified. One hundred measures, 50% of all patient observations over 36 months, were encoded in SNOMED CT?. 78% of the concepts were mapped.",
,,,Extending Nurse Practitioner Care Using the Virtual Reality World of Second Life,Elizabeth E. Weiner,"Tom Elasy, Nancy M. Lorenzi, Ryan McNew, Laura Shackleford, Kathleen Wolff, Stephanie Martin, Christy Benson","The growth of Internet applications has substantially broadened the potential for its use in global telehealth. This pilot project used the virtual reality world of Second Life for diabetic patients to meet with their nurse practitioners for their maintenance visits. Using avatars and the online patient portal, these scheduled visits were designed to meet the needs of the patients as determined by the results from a questionnaire completed by patients prior to the visit. The virtual visits took place in the replicated building where patients typically receive their care, the Eskind Diabetes Clinic. Orientation sessions to Second Life were made available prior to the actual visit, and additional online resources were made available after the visit was over. Although only seven pilot patients have currently completed visits, data illustrate the positive potential use of this treatment modality for future study.",
,,,A Taxonomy for Contextual Information in Electronic Health Records,Charlene R. Weir,"Nancy Staggers, Kristina Doing-Harris, Robert Dunlea, Teresa McCormick, Robyn Barrus","Contextual information is functional, social and financial information about patients and is central to many health-care decisions, including end-of-life care, living arrangements, and the aggressiveness of treatment. It is the language of patients when talking about their health and frequently the focus of nursing interventions. In this study, we report the results of a qualitative analysis of interviews of 17 clinicians focusing on their use of contextual information during the process of care, decision-making and documentation. We identified seven characteristics of contextual information relevant to its use in a clinical setting. Implications for Natural Language Processing and Ontology construction are discussed.",
,,,Changes in nurses’ work associated with computerised information systems: Opportunities for international comparative studies using the revised Work Observation Method By Activity Timing (WOMBAT),Johanna I. Westbrook,"Nerida J. Creswick, Christine Duffield, Ling Li, William T. M. Dunsmuir","An important step in advancing global health through informatics is to understand how systems support health professionals to deliver improved services to patients. Studies in several countries have highlighted the potential for clinical information systems to change patterns of work and communication, and in particular have raised concerns that they reduce nurses’ time in direct care. However measuring the effects of systems on work is challenging and comparisons across studies have been hindered by a lack of standardised definitions and measurement tools. This paper describes the Work Observation Method by Activity Time (WOMBAT) technique version 1.0 and the ways in which the data generated can describe different aspects of health professionals’ work. In 2011 a revised WOMBAT version 2.0 was developed specifically to facilitate its use by research teams in different countries. The new features provide opportunities for international comparative studies of nurses’ work to be conducted.",
,,,“You Are Not at All Bothersome” ? Nurses’ Online Communication with Testicular Cancer Patients,Torunn Wibe,"Mirjam Ekstedt, Ragnhild Hellesø, Cecilie Varsi, Cornelia Ruland","To some extent, electronic communication has supplemented nurses’ face-to-face contact with patients over the last few years. In this paper, we report findings from a study in which we examined cancer nurses’ answers to messages from testicular cancer patients in a nurse-managed online patient-provider communication service. The aim of the study was to investigate how nurses manage to meet patients’ different questions and concerns, and what aspects of expert nursing care are demonstrated when they communicate with patients online. The content of the messages formed a continuum from practical to existential issues. In their answers, the nurses demonstrated an ability to make reflected choices between both support modalities and means of communication. The professional knowledge and care of expert cancer nurses were clearly exposed in the nurses’ answers, although they were good at adapting their professional language so that it would be understandable to the patients.",
,,,Current Practices in Clinical Analytics: A Hospital Survey Report,Dana M. Womack,"Rosemary Kennedy, Bill Bria","Clinical analytics must become a pervasive activity in healthcare settings to achieve the global vision for timely, effective, equitable, and excellent care. Global adoption of the Electronic Health Record (EHR) has increased the volume of data available for performance measurement and healthcare organizational capacity for continuous quality improvement. However, EHR adoption does not automatically result in optimal use of clinical data for performance improvement. In order to understand organizational factors related to use of data for clinical analytics, a survey was conducted of hospitals and hospital-based clinics. The survey revealed sub-optimal use of data captured as a byproduct of care delivery, the need for tools and methodologies to assist with data analytics, and the need for disciplined organizational structure and strategies. Informatics nurse professionals are well-positioned to lead analytical efforts and serve as a catalyst in their facility’s transformations into a data-driven organization.",
,,,Methods of Knowledge Discovery in Tweets,Sunmoo Yoon,Suzanne Bakken,"The purposes of this methodological paper are: 1) to describe web mining methods for knowledge discovery in Tweets, and 2) to illustrate application of the methods using the topic of physical activity. Methods described include: 1) structure mining to discover structures (macro-, meso-, and micro-level) of Tweet networks using social network analysis, and 2) content mining to discover Tweet contents using n-gram based text analysis and sentiment analysis. Specific web mining tools for each step of the web mining process (e.g., NodeXL, ORA, Pajek, Weka) are detailed. Our novel application of web mining methods was useful in understanding multiple dimensions of physical activity. The methods that we applied may be useful to others wishing to mine social media for health-related purposes.","web mining, knowledge discovery, structure mining, content mining, web 2.0, Twitter"
